time,signal,type,entry,sl,tp,exit,pnl_raw,pnl_weighted,position,breakout_prob,reason,result,month
2025-03-16 22:10:00,SHORT,STRONG,1884.19,1889.8582857142858,1872.3810714285714,1872.3810714285714,0.6267376735588568,0.37604260413531404,60,25,放量趋势,WIN,2025-03
2025-03-16 22:15:00,SHORT,STRONG,1882.17,1887.9060000000002,1870.22,1887.9060000000002,-0.30475461833947537,-0.18285277100368522,60,25,放量趋势,LOSS,2025-03
2025-03-16 22:20:00,SHORT,STRONG,1883.5,1889.086857142857,1871.8607142857143,1871.8607142857143,0.6179604839015521,0.3707762903409313,60,15,放量趋势,WIN,2025-03
2025-03-16 22:35:00,SHORT,STRONG,1882.21,1888.0522857142857,1870.0385714285715,1888.0522857142857,-0.3103949991916794,-0.18623699951500763,60,35,放量趋势,LOSS,2025-03
2025-03-16 22:40:00,SHORT,STRONG,1883.34,1888.9199999999998,1871.715,1871.715,0.6172544521966294,0.37035267131797767,60,35,放量趋势,WIN,2025-03
2025-03-16 22:55:00,SHORT,STRONG,1874.71,1880.2822857142858,1863.1010714285715,1880.2822857142858,-0.29723454370466507,-0.17834072622279906,60,25,强突破,LOSS,2025-03
2025-03-17 02:10:00,SHORT,STRONG,1904.0,1909.6582142857144,1896.455714285714,1909.6582142857144,-0.2971751200480249,-0.17830507202881493,60,30,放量趋势,LOSS,2025-03
2025-03-17 06:30:00,SHORT,STRONG,1881.3,1886.7535714285714,1874.0285714285715,1886.7535714285714,-0.2898831355217893,-0.23190650841743143,80,60,强突破,LOSS,2025-03
2025-03-17 06:35:00,SHORT,STRONG,1887.82,1892.6328571428571,1877.7932142857142,1892.6328571428571,-0.25494258683863835,-0.15296555210318302,60,45,放量趋势,LOSS,2025-03
2025-03-17 06:45:00,SHORT,STRONG,1891.4,1896.3671428571429,1881.0517857142859,1896.3671428571429,-0.2626172600794538,-0.15757035604767228,60,35,放量趋势,LOSS,2025-03
2025-03-17 09:25:00,LONG,STRONG,1906.19,1900.9325000000001,1913.2,1913.2,0.36774927997733653,0.22064956798640192,60,50,放量趋势,WIN,2025-03
2025-03-17 09:30:00,LONG,STRONG,1906.95,1902.047142857143,1913.487142857143,1913.487142857143,0.3428062013761742,0.20568372082570452,60,50,放量趋势,WIN,2025-03
2025-03-17 09:45:00,LONG,STRONG,1909.3,1904.1860714285713,1916.1185714285714,1916.1185714285714,0.3571241517085545,0.21427449102513269,60,50,强突破,WIN,2025-03
2025-03-17 09:50:00,LONG,STRONG,1910.69,1905.3832142857143,1917.7657142857145,1917.7657142857145,0.37032246391169743,0.37032246391169743,100,70,强突破,WIN,2025-03
2025-03-17 09:55:00,LONG,STRONG,1912.66,1907.5182142857143,1919.5157142857145,1919.5157142857145,0.35843873379034347,0.35843873379034347,100,70,强突破,WIN,2025-03
2025-03-17 10:00:00,LONG,STRONG,1910.56,1905.2285714285713,1917.6685714285716,1917.6685714285716,0.3720674267529741,0.22324045605178447,60,50,放量趋势,WIN,2025-03
2025-03-17 10:05:00,LONG,STRONG,1909.16,1903.9207142857142,1916.1457142857143,1916.1457142857143,0.3659051250662211,0.21954307503973264,60,40,放量趋势,WIN,2025-03
2025-03-17 10:20:00,LONG,STRONG,1914.39,1908.669642857143,1922.017142857143,1908.669642857143,-0.29880834850042104,-0.29880834850042104,100,70,放量趋势,LOSS,2025-03
2025-03-17 12:30:00,LONG,STRONG,1920.14,1912.7617142857143,1935.5114285714287,1912.7617142857143,-0.38425769549542044,-0.23055461729725227,60,35,放量趋势,LOSS,2025-03
2025-03-17 15:50:00,LONG,STRONG,1921.02,1913.4985714285713,1936.6896428571429,1913.4985714285713,-0.3915330694854147,-0.23491984169124883,60,25,强突破,LOSS,2025-03
2025-03-17 16:10:00,LONG,STRONG,1920.18,1913.4660000000001,1934.1675000000002,1913.4660000000001,-0.3496547198700092,-0.2097928319220055,60,35,放量趋势,LOSS,2025-03
2025-03-17 17:30:00,LONG,STRONG,1929.91,1924.4842857142858,1941.2135714285716,1941.2135714285716,0.5857045887410065,0.3514227532446039,60,55,强突破,WIN,2025-03
2025-03-17 18:00:00,LONG,STRONG,1932.64,1927.467142857143,1943.4167857142859,1943.4167857142859,0.55761992478091,0.446095939824728,80,65,放量趋势,WIN,2025-03
2025-03-17 18:05:00,LONG,STRONG,1931.33,1926.0457142857142,1942.3389285714286,1942.3389285714286,0.5700179964805947,0.34201079788835687,60,55,放量趋势,WIN,2025-03
2025-03-17 18:15:00,LONG,STRONG,1938.99,1933.4502857142857,1950.5310714285715,1950.5310714285715,0.5952104667157393,0.3571262800294436,60,45,强突破,WIN,2025-03
2025-03-17 18:30:00,LONG,STRONG,1948.27,1941.964857142857,1961.4057142857143,1941.964857142857,-0.32362777526436187,-0.19417666515861712,60,45,强突破,LOSS,2025-03
2025-03-17 21:40:00,LONG,STRONG,1939.25,1934.1765714285714,1949.819642857143,1934.1765714285714,-0.2616180776809912,-0.15697084660859473,60,15,放量趋势,LOSS,2025-03
2025-03-17 22:00:00,LONG,STRONG,1938.89,1934.1088571428572,1948.8507142857145,1934.1088571428572,-0.2465917538974809,-0.14795505233848855,60,15,放量趋势,LOSS,2025-03
2025-03-18 03:30:00,SHORT,STRONG,1902.41,1907.2125714285714,1892.404642857143,1907.2125714285714,-0.2524467085734071,-0.15146802514404428,60,45,放量趋势,LOSS,2025-03
2025-03-18 04:05:00,SHORT,STRONG,1905.21,1909.8334285714286,1895.5778571428573,1909.8334285714286,-0.24267291119764098,-0.1456037467185846,60,25,放量趋势,LOSS,2025-03
2025-03-18 06:10:00,SHORT,STRONG,1900.16,1904.5404285714287,1896.5096428571428,1896.5096428571428,0.19210788264447592,0.15368630611558076,80,60,强突破,WIN,2025-03
2025-03-18 06:15:00,SHORT,STRONG,1896.32,1901.3857142857141,1892.0985714285714,1901.3857142857141,-0.2671339376114893,-0.21370715008919142,80,60,强突破,LOSS,2025-03
2025-03-18 06:40:00,SHORT,STRONG,1897.52,1902.7196428571428,1890.587142857143,1902.7196428571428,-0.2740230857721058,-0.1644138514632635,60,40,放量趋势,LOSS,2025-03
2025-03-18 10:15:00,SHORT,STRONG,1888.33,1892.9054285714285,1878.797857142857,1892.9054285714285,-0.2423002638007432,-0.19384021104059457,80,65,强突破,LOSS,2025-03
2025-03-18 10:20:00,SHORT,STRONG,1890.49,1895.224,1880.6275,1895.224,-0.250411269036066,-0.1502467614216396,60,55,放量趋势,LOSS,2025-03
2025-03-18 10:35:00,SHORT,STRONG,1894.61,1899.5702857142855,1884.2760714285714,1899.5702857142855,-0.26181038389355316,-0.1570862303361319,60,35,放量趋势,LOSS,2025-03
2025-03-18 13:35:00,SHORT,STRONG,1886.29,1892.5145714285713,1873.3221428571428,1873.3221428571428,0.6874795043634413,0.4124877026180648,60,45,强突破,WIN,2025-03
2025-03-18 13:40:00,SHORT,STRONG,1877.99,1884.7237142857143,1863.9614285714285,1884.7237142857143,-0.3585596454568083,-0.21513578727408497,60,45,强突破,LOSS,2025-03
2025-03-18 13:45:00,SHORT,STRONG,1878.2,1885.394,1863.2125,1885.394,-0.3830263017782962,-0.22981578106697775,60,45,放量趋势,LOSS,2025-03
2025-03-18 14:20:00,SHORT,STRONG,1887.15,1895.7214285714288,1869.2928571428572,1895.7214285714288,-0.454199643453285,-0.27251978607197097,60,15,放量趋势,LOSS,2025-03
2025-03-18 16:45:00,SHORT,STRONG,1879.34,1886.5785714285714,1864.2596428571428,1886.5785714285714,-0.3851656128519323,-0.23109936771115935,60,25,放量趋势,LOSS,2025-03
2025-03-18 22:20:00,LONG,STRONG,1916.6,1911.977857142857,1922.762857142857,1911.977857142857,-0.24116366780460138,-0.14469820068276085,60,40,强突破,LOSS,2025-03
2025-03-18 22:55:00,LONG,STRONG,1917.82,1912.6407142857142,1924.7257142857143,1924.7257142857143,0.36008146154041254,0.21604887692424754,60,40,放量趋势,WIN,2025-03
2025-03-18 23:00:00,LONG,STRONG,1922.8,1917.2649999999999,1930.18,1930.18,0.3838152693987991,0.23028916163927945,60,50,强突破,WIN,2025-03
2025-03-18 23:15:00,LONG,STRONG,1926.6,1921.0510714285713,1933.9985714285713,1933.9985714285713,0.3840221856416152,0.3840221856416152,100,70,强突破,WIN,2025-03
2025-03-18 23:20:00,LONG,STRONG,1929.51,1924.1678571428572,1936.6328571428571,1936.6328571428571,0.36915367854310827,0.2953229428344866,80,60,放量趋势,WIN,2025-03
2025-03-18 23:25:00,LONG,STRONG,1933.99,1928.2139285714286,1941.6914285714286,1928.2139285714286,-0.29866087356043275,-0.29866087356043275,100,80,强突破,LOSS,2025-03
2025-03-18 23:40:00,LONG,STRONG,1930.4,1924.8575,1937.7900000000002,1937.7900000000002,0.38282221301285224,0.3062577704102818,80,60,放量趋势,WIN,2025-03
2025-03-19 00:25:00,LONG,STRONG,1938.25,1933.3514285714286,1948.455357142857,1948.455357142857,0.5265242947430471,0.31591457684582824,60,25,强突破,WIN,2025-03
2025-03-19 00:30:00,LONG,STRONG,1940.85,1935.462,1952.0749999999998,1935.462,-0.27761032537289954,-0.16656619522373972,60,35,强突破,LOSS,2025-03
2025-03-19 00:45:00,LONG,STRONG,1945.2,1939.3457142857144,1957.3964285714287,1939.3457142857144,-0.30096060632766053,-0.1805763637965963,60,35,放量趋势,LOSS,2025-03
2025-03-19 05:30:00,LONG,STRONG,1938.53,1933.9502857142857,1942.3464285714285,1942.3464285714285,0.19687229867108377,0.11812337920265026,60,50,强突破,WIN,2025-03
2025-03-19 09:30:00,LONG,STRONG,1943.11,1938.3239285714285,1949.4914285714285,1949.4914285714285,0.32841314034864805,0.19704788420918884,60,40,放量趋势,WIN,2025-03
2025-03-19 09:35:00,LONG,STRONG,1942.68,1937.8092857142858,1949.1742857142858,1949.1742857142858,0.33429518573752504,0.20057711144251503,60,30,放量趋势,WIN,2025-03
2025-03-19 10:00:00,LONG,STRONG,1947.19,1942.4435714285714,1953.5185714285715,1953.5185714285715,0.3250104729672719,0.2600083783738175,80,60,强突破,WIN,2025-03
