time,signal,type,entry,sl,tp,exit,pnl_raw,pnl_weighted,position,breakout_prob,volatility,reason,result,month
2025-03-16 04:40:00,SHORT,STRONG,1926.46,1929.955,1921.9165,1929.955,-0.1814208444504371,-0.08889621378071418,49,60,0.001209472296336281,放量趋势,LOSS,2025-03
2025-03-16 07:45:00,SHORT,STRONG,1925.86,1929.7557142857142,1918.8477142857141,1918.8477142857141,0.3641119143803694,0.11287469345791451,31,70,0.00134856264585322,放量趋势,WIN,2025-03
2025-03-16 07:50:00,SHORT,STRONG,1926.74,1930.8167857142857,1922.2555357142858,1922.2555357142858,0.23274880293730543,0.15361420993862157,66,50,0.001410598805680669,放量趋势,WIN,2025-03
2025-03-16 08:15:00,SHORT,STRONG,1920.39,1924.275,1915.3395,1915.3395,0.26299345445456684,0.12886679268273776,49,60,0.001348684381818293,强突破,WIN,2025-03
2025-03-16 09:25:00,SHORT,STRONG,1916.6,1920.3939285714284,1909.7709285714284,1909.7709285714284,0.3563117723349434,0.11045664942383243,31,70,0.0013196732308701621,强突破,WIN,2025-03
2025-03-16 09:35:00,SHORT,STRONG,1911.09,1915.032,1902.5489999999998,1902.5489999999998,0.4469177275795576,0.31284240930569035,70,60,0.0017189143368444445,强突破,WIN,2025-03
2025-03-16 09:40:00,SHORT,STRONG,1907.01,1911.2725714285716,1894.2222857142854,1911.2725714285716,-0.22352118911655514,-0.1005845351024498,45,70,0.0018626765759712446,放量趋势,LOSS,2025-03
2025-03-16 11:00:00,SHORT,STRONG,1896.4,1900.7140000000002,1883.458,1883.458,0.6824509597131411,0.3071029318709135,45,70,0.0018956971103142768,强突破,WIN,2025-03
2025-03-16 11:05:00,SHORT,STRONG,1895.19,1899.3114285714287,1883.8560714285716,1883.8560714285716,0.5980365330878955,0.5681347064335007,95,55,0.0021746783021378197,强突破,WIN,2025-03
2025-03-16 11:10:00,SHORT,STRONG,1893.8,1897.9978571428571,1880.1569642857144,1880.1569642857144,0.7204053075449144,0.50428371528144,70,65,0.0022166317155228247,放量趋势,WIN,2025-03
2025-03-16 11:15:00,SHORT,STRONG,1886.59,1892.2514285714285,1868.190357142857,1868.190357142857,0.9752857195862857,0.6827000037104,70,65,0.003000879137188554,强突破,WIN,2025-03
2025-03-16 11:35:00,SHORT,STRONG,1873.74,1880.517857142857,1855.100892857143,1880.517857142857,-0.3617287960366487,-0.34364235623481626,95,55,0.0036172879603665045,放量趋势,LOSS,2025-03
2025-03-16 19:10:00,SHORT,STRONG,1882.98,1888.005,1869.1612499999999,1869.1612499999999,0.7338766211006031,0.697182790045573,95,55,0.0026686422585476266,强突破,WIN,2025-03
2025-03-16 19:15:00,SHORT,STRONG,1871.66,1877.6507142857145,1852.1901785714285,1877.6507142857145,-0.32007492203254734,-0.22405244542278313,70,65,0.00320074922032543,强突破,LOSS,2025-03
2025-03-17 06:30:00,SHORT,STRONG,1881.3,1885.662857142857,1871.847142857143,1885.662857142857,-0.23190650841743146,-0.16233455589220203,70,60,0.0019325542368119257,强突破,LOSS,2025-03
2025-03-17 09:25:00,LONG,STRONG,1906.19,1901.984,1913.901,1913.901,0.4045242079750713,0.3842979975763178,95,50,0.0018387463998866995,放量趋势,WIN,2025-03
2025-03-17 09:30:00,LONG,STRONG,1906.95,1903.0277142857142,1914.1408571428572,1914.1408571428572,0.3770868215137844,0.3582324804380952,95,50,0.0017140310068808622,放量趋势,WIN,2025-03
2025-03-17 09:45:00,LONG,STRONG,1909.3,1905.2088571428571,1916.8004285714287,1916.8004285714287,0.3928365668794195,0.3731947385354485,95,50,0.0017856207585427895,强突破,WIN,2025-03
2025-03-17 09:50:00,LONG,STRONG,1910.69,1906.4445714285714,1923.426285714286,1906.4445714285714,-0.22219347834701847,-0.0999870652561583,45,70,0.0018516123195584785,强突破,LOSS,2025-03
2025-03-17 09:55:00,LONG,STRONG,1912.66,1908.5465714285715,1925.000285714286,1908.5465714285715,-0.2150632402742037,-0.09677845812339166,45,70,0.0017921936689517175,强突破,LOSS,2025-03
