timestamp,open,high,low,close,volume,datetime
1742040000000,1928.89,1930.31,1926.67,1928.31,631.578924,2025-03-15 12:00:00
1742040900000,1928.49,1931.2,1926.66,1928.7,782.683174,2025-03-15 12:15:00
1742041800000,1928.7,1930.1,1926.91,1927.35,235.364917,2025-03-15 12:30:00
1742042700000,1927.55,1929.89,1922.78,1922.89,322.662419,2025-03-15 12:45:00
1742043600000,1922.9,1927.37,1922.49,1927.37,264.545696,2025-03-15 13:00:00
1742044500000,1927.37,1931.54,1926.01,1928.0,851.081439,2025-03-15 13:15:00
1742045400000,1927.91,1933.0,1925.86,1932.1,1666.796932,2025-03-15 13:30:00
1742046300000,1932.01,1933.25,1930.0,1930.92,378.369388,2025-03-15 13:45:00
1742047200000,1930.91,1930.91,1926.78,1929.42,309.949997,2025-03-15 14:00:00
1742048100000,1929.23,1929.23,1923.52,1925.31,661.887438,2025-03-15 14:15:00
1742049000000,1925.17,1927.59,1923.11,1927.03,414.117501,2025-03-15 14:30:00
1742049900000,1927.03,1929.52,1926.5,1926.71,308.89782,2025-03-15 14:45:00
1742050800000,1926.71,1933.01,1926.46,1931.09,558.713614,2025-03-15 15:00:00
1742051700000,1931.1,1937.95,1930.0,1934.79,1313.014247,2025-03-15 15:15:00
1742052600000,1934.79,1939.35,1930.65,1937.8,1019.620128,2025-03-15 15:30:00
1742053500000,1937.8,1939.18,1934.75,1937.58,2185.645843,2025-03-15 15:45:00
1742054400000,1937.59,1938.74,1934.8,1936.78,694.78507,2025-03-15 16:00:00
1742055300000,1936.95,1937.94,1933.22,1936.04,311.128583,2025-03-15 16:15:00
1742056200000,1935.71,1943.38,1934.0,1941.1,965.674266,2025-03-15 16:30:00
1742057100000,1941.08,1945.3,1937.55,1937.7,465.126927,2025-03-15 16:45:00
1742058000000,1937.7,1941.71,1935.25,1941.38,430.090182,2025-03-15 17:00:00
1742058900000,1941.65,1948.3,1940.21,1945.8,872.964446,2025-03-15 17:15:00
1742059800000,1945.83,1946.54,1938.19,1939.88,579.775691,2025-03-15 17:30:00
1742060700000,1939.89,1941.19,1936.74,1940.51,483.303257,2025-03-15 17:45:00
1742061600000,1940.5,1945.51,1940.2,1944.53,698.881143,2025-03-15 18:00:00
1742062500000,1944.54,1944.98,1937.54,1938.83,567.82655,2025-03-15 18:15:00
1742063400000,1938.82,1940.16,1930.63,1932.67,515.805528,2025-03-15 18:30:00
1742064300000,1932.63,1934.6,1931.0,1932.7,260.136605,2025-03-15 18:45:00
1742065200000,1932.68,1932.9,1928.59,1931.79,650.9797,2025-03-15 19:00:00
1742066100000,1931.79,1934.04,1931.29,1932.98,151.234115,2025-03-15 19:15:00
1742067000000,1932.99,1934.5,1929.37,1934.03,350.657442,2025-03-15 19:30:00
1742067900000,1934.04,1937.98,1933.69,1937.2,648.043779,2025-03-15 19:45:00
1742068800000,1937.25,1949.55,1937.25,1945.99,1103.723629,2025-03-15 20:00:00
1742069700000,1946.0,1947.4,1943.1,1944.71,595.500501,2025-03-15 20:15:00
1742070600000,1944.71,1944.95,1941.51,1941.7,226.967473,2025-03-15 20:30:00
1742071500000,1941.69,1945.81,1941.56,1944.0,471.176142,2025-03-15 20:45:00
1742072400000,1944.0,1946.95,1942.7,1943.09,457.79798,2025-03-15 21:00:00
1742073300000,1943.08,1943.8,1939.8,1943.32,299.589374,2025-03-15 21:15:00
1742074200000,1943.39,1957.85,1943.3,1949.0,1308.915781,2025-03-15 21:30:00
1742075100000,1949.01,1952.26,1946.51,1950.79,448.649944,2025-03-15 21:45:00
1742076000000,1950.9,1954.7,1947.92,1948.81,446.317049,2025-03-15 22:00:00
1742076900000,1948.8,1949.89,1943.9,1945.88,333.321163,2025-03-15 22:15:00
1742077800000,1945.93,1946.61,1939.42,1941.2,398.201265,2025-03-15 22:30:00
1742078700000,1940.9,1944.44,1940.11,1943.9,264.756862,2025-03-15 22:45:00
1742079600000,1943.9,1944.98,1941.99,1942.55,230.524326,2025-03-15 23:00:00
1742080500000,1942.47,1942.47,1938.08,1939.42,262.581586,2025-03-15 23:15:00
1742081400000,1939.43,1942.05,1938.34,1938.98,340.665989,2025-03-15 23:30:00
1742082300000,1938.98,1941.4,1936.1,1937.29,418.309762,2025-03-15 23:45:00
